loan,months,income,expenses,necessary_expenses,unnecessary_expenses,loan_payment
18165.0,36,9593.23,5496.22,4540.13,956.08,572.46
18165.0,36,9593.23,5428.9,4409.76,1019.14,579.56
18165.0,36,9593.23,5387.21,4296.67,1090.54,584.05
18165.0,36,9593.23,5282.64,4209.7,1072.94,595.61
18165.0,36,9593.23,5168.22,4279.23,888.99,605.5
18165.0,36,9593.23,5223.22,4297.98,925.24,602.38
18165.0,36,9593.23,5846.59,4646.22,1200.38,538.16
18165.0,36,9593.23,5547.8,4476.47,1071.33,567.14
18165.0,36,9593.23,5422.07,4366.79,1055.27,580.29
18165.0,36,9593.23,5529.72,4375.55,1154.17,568.99
18165.0,36,9593.23,5404.23,4376.07,1028.16,582.21
18165.0,36,9593.23,5326.24,4259.42,1066.83,590.73
18165.0,36,9593.23,5488.71,4462.49,1026.22,573.25
18165.0,36,9593.23,5547.28,4614.44,932.84,567.19
18165.0,36,9593.23,5515.89,4383.71,1132.17,570.42
18165.0,36,9593.23,5212.61,4194.0,1018.61,603.61
18165.0,36,9593.23,5381.97,4546.79,835.18,584.62
18165.0,36,9593.23,5540.76,4444.77,1095.99,567.86
18165.0,36,9593.23,5556.29,4469.28,1087.02,566.27
18165.0,36,9593.23,5376.87,4453.02,923.85,585.17
18165.0,36,9593.23,5546.21,4487.27,1058.94,567.3
18165.0,36,9593.23,5767.83,4673.53,1094.3,545.51
18165.0,36,9593.23,5583.18,4536.0,1047.18,563.55
18165.0,36,9593.23,5617.14,4501.59,1115.55,560.14
18165.0,36,9593.23,5683.7,4653.77,1029.93,553.58
18165.0,36,9593.23,5205.29,4340.58,864.71,604.46
18165.0,36,9593.23,5655.93,4468.6,1187.32,556.3
18165.0,36,9593.23,5541.46,4362.96,1178.51,567.79
18165.0,36,9593.23,5234.76,4197.2,1037.56,601.06
18165.0,36,9593.23,5148.64,4349.48,799.16,605.5
18165.0,36,9593.23,5275.22,4378.42,896.8,596.45
18165.0,36,9593.23,5597.72,4628.9,968.83,257.91
10710.0,48,4658.58,2714.8,2264.16,450.64,248.87
10710.0,48,4658.58,2785.04,2226.49,558.55,242.6
10710.0,48,4658.58,2491.0,2168.35,322.64,267.75
10710.0,48,4658.58,2642.54,2121.81,520.73,255.68
10710.0,48,4658.58,2583.45,2089.63,493.81,261.53
10710.0,48,4658.58,2670.47,2247.87,422.6,253.0
10710.0,48,4658.58,2629.34,2154.86,474.48,256.96
10710.0,48,4658.58,2694.5,2179.05,515.45,250.75
10710.0,48,4658.58,2698.61,2232.04,466.56,250.37
10710.0,48,4658.58,2485.05,2122.96,362.09,267.75
10710.0,48,4658.58,2615.96,2195.19,420.76,258.28
10710.0,48,4658.58,2676.65,2187.29,489.36,252.42
10710.0,48,4658.58,2654.47,2111.31,543.16,254.53
10710.0,48,4658.58,2609.86,2094.64,515.21,258.88
10710.0,48,4658.58,2577.73,2188.32,389.41,262.11
10710.0,48,4658.58,2566.29,2096.38,469.91,263.27
10710.0,48,4658.58,2663.05,2182.0,481.05,253.71
10710.0,48,4658.58,2541.39,2103.09,438.3,265.85
10710.0,48,4658.58,2497.62,2160.92,336.7,267.75
10710.0,48,4658.58,2614.53,2254.14,360.39,258.42
10710.0,48,4658.58,2540.11,2065.38,474.74,265.99
10710.0,48,4658.58,2622.73,2136.47,486.27,257.61
10710.0,48,4658.58,2580.76,2046.51,534.25,261.8
10710.0,48,4658.58,2641.01,2201.11,439.91,255.83
10710.0,48,4658.58,2668.31,2085.69,582.63,253.21
10710.0,48,4658.58,2697.37,2170.57,526.79,250.48
10710.0,48,4658.58,2597.81,2149.47,448.34,260.08
10710.0,48,4658.58,2768.63,2254.41,514.22,244.03
10710.0,48,4658.58,2573.7,2059.38,514.33,262.52
10710.0,48,4658.58,2550.16,2078.63,471.52,264.94
10710.0,48,4658.58,2549.62,2028.87,520.75,265.0
10710.0,48,4658.58,2598.6,2240.66,357.94,260.0
