loan,income,expenses,necessary_expenses,unnecessary_expenses,loan_payment
8400.0,2000,1078.85,824.59,254.26,259.54
8400.0,2000,1018.86,828.79,190.06,274.82
8400.0,2000,1023.13,854.65,168.48,273.67
8400.0,2000,1092.89,860.56,232.33,256.2
8400.0,2000,1086.65,915.98,170.67,257.67
8400.0,2000,980.32,800.61,179.7,280.0
8400.0,2000,1060.68,898.41,162.28,263.98
8400.0,2000,1098.55,914.25,184.29,254.88
8400.0,2000,1104.58,904.44,200.14,253.49
8400.0,2000,1023.81,814.38,209.43,273.49
8400.0,2000,1032.63,813.95,218.67,271.15
8400.0,2000,1441.83,919.88,521.95,219.24
8400.0,2000,1044.44,867.23,177.21,268.09
8400.0,2000,1008.42,830.56,177.86,277.66
8400.0,2000,1158.79,933.04,225.74,241.63
8400.0,2000,1046.45,822.83,223.63,267.57
8400.0,2000,1425.66,937.8,487.86,210.35
8400.0,2000,1076.27,878.85,197.41,260.16
8400.0,2000,1363.2,878.36,484.84,207.58
8400.0,2000,989.73,815.39,174.34,280.0
8400.0,2000,1021.41,880.15,141.25,274.13
8400.0,2000,1080.44,866.06,214.38,259.15
8400.0,2000,1034.1,801.78,232.32,270.77
8400.0,2000,1067.73,845.19,222.54,262.24
8400.0,2000,1019.61,881.23,138.39,274.61
8400.0,2000,1018.6,805.18,213.42,274.89
8400.0,2000,1144.24,948.8,195.44,244.7
8400.0,2000,1187.56,943.81,243.75,235.78
8400.0,2000,1034.22,833.01,201.21,270.73
8400.0,2000,1004.47,806.76,197.71,278.75
8400.0,2000,1105.04,938.68,166.36,253.38
8400.0,2000,1094.81,882.46,212.35,255.75
8400.0,2000,1047.29,856.31,190.99,93.93
